Order ID,Order Date,Region,Product,Category,Sales,Profit,Quantity
ORD1023,2024-08-01,East,Chair,Furniture,1886.93,167.73,1
ORD8118,2024-09-05,North,Chair,Furniture,1723.57,137.65,2
ORD9812,2025-01-08,East,Keyboard,Technology,1807.83,362.14,1
ORD2995,2024-12-06,North,Mouse,Technology,1322.56,189.0,2
ORD9663,2024-11-27,East,Keyboard,Technology,257.76,38.87,4
ORD2126,2025-05-19,South,Desk,Furniture,229.1,34.04,1
ORD1928,2024-09-11,East,Cabinet,Furniture,1538.94,133.97,1
ORD6332,2024-11-25,South,Paper,Office Supplies,162.01,29.71,5
ORD4786,2025-04-07,East,Mouse,Technology,215.26,23.05,3
ORD3043,2024-09-03,West,Cabinet,Furniture,1391.33,189.5,5
ORD2796,2024-10-11,South,Mouse,Technology,1265.16,249.73,1
ORD5360,2025-02-09,South,Stapler,Office Supplies,494.02,71.4,1
ORD8696,2025-06-16,West,Pen,Office Supplies,1088.81,197.85,4
ORD3000,2024-09-29,West,Keyboard,Technology,375.56,84.56,1
ORD3128,2025-05-25,West,Keyboard,Technology,690.68,149.49,1
ORD7030,2025-03-18,East,Monitor,Technology,580.39,90.11,2
ORD3714,2024-08-05,South,Stapler,Office Supplies,328.05,24.13,2
ORD4571,2025-03-18,West,Keyboard,Technology,1058.06,182.02,2
ORD5632,2024-12-21,East,Chair,Furniture,711.14,106.07,2
ORD3603,2024-09-20,North,Desk,Furniture,1914.05,202.42,3
ORD1888,2024-11-23,South,Cabinet,Furniture,1422.06,121.46,4
ORD1325,2025-03-23,West,Mouse,Technology,1810.61,273.42,5
ORD7826,2024-10-31,East,Binder,Office Supplies,1723.2,249.51,3
ORD6723,2025-02-16,South,Table,Furniture,119.85,19.03,1
ORD8027,2025-06-24,North,Binder,Office Supplies,381.72,35.89,5
ORD3705,2025-03-24,North,Monitor,Technology,1748.92,91.95,5
ORD2880,2024-10-06,East,Laptop,Technology,91.62,16.61,5
ORD4619,2025-02-13,East,Mouse,Technology,1563.08,122.92,1
ORD1385,2024-10-04,North,Notebook,Office Supplies,1879.9,378.08,4
ORD2965,2025-01-31,West,Binder,Office Supplies,1538.76,94.34,4
ORD1547,2025-05-18,West,Shelf,Furniture,1481.43,301.28,3
ORD4999,2025-05-31,East,Laptop,Technology,537.76,109.12,3
ORD6844,2024-12-25,North,Chair,Furniture,1165.71,208.06,5
ORD8344,2024-11-11,East,Cabinet,Furniture,21.37,3.83,2
ORD6124,2025-02-23,North,Notebook,Office Supplies,993.75,103.61,1
ORD8025,2024-12-18,North,Keyboard,Technology,935.02,119.98,2
ORD8683,2025-01-17,South,Desk,Furniture,711.03,106.91,2
ORD7368,2024-09-24,North,Monitor,Technology,1233.18,141.61,5
ORD8767,2025-04-19,North,Notebook,Office Supplies,939.53,165.52,1
ORD9988,2025-01-15,West,Pen,Office Supplies,842.02,111.45,1
ORD2101,2024-09-07,East,Notebook,Office Supplies,101.22,17.23,1
ORD3448,2025-06-13,South,Keyboard,Technology,1628.69,327.58,4
ORD6755,2025-05-12,East,Stapler,Office Supplies,613.34,40.42,4
ORD6938,2024-09-30,East,Paper,Office Supplies,358.35,44.72,2
ORD4967,2025-04-06,East,Notebook,Office Supplies,1149.02,132.44,1
ORD8183,2024-08-28,South,Notebook,Office Supplies,669.26,38.13,3
ORD8408,2024-08-15,South,Cabinet,Furniture,1593.86,239.7,3
ORD3535,2025-03-19,West,Shelf,Furniture,115.77,12.4,4
ORD7759,2024-10-12,South,Printer,Technology,246.39,42.19,1
ORD3094,2024-12-31,South,Printer,Technology,98.91,22.22,1
ORD5373,2024-12-12,East,Keyboard,Technology,724.58,72.48,2
ORD6242,2025-05-09,North,Desk,Furniture,1405.32,252.2,3
ORD8502,2024-11-30,West,Notebook,Office Supplies,1259.96,193.98,2
ORD2457,2025-06-26,North,Stapler,Office Supplies,641.49,84.89,4
ORD5973,2025-06-22,North,Pen,Office Supplies,1069.75,129.29,3
ORD6392,2025-04-18,South,Paper,Office Supplies,113.56,18.13,3
ORD4581,2024-08-09,South,Laptop,Technology,1512.57,228.1,1
ORD3372,2025-05-17,North,Table,Furniture,709.99,127.13,3
